pl_name,hostname,discoverymethod,pl_bmassprov,disc_year,planet_mass_limit_flag,planet_radius_limit_flag,insolation_limit_flag,equilibrium_temperature_limit_flag,available_axis_count,available_axes,stellar_mass_solar_effective,stellar_mass_source,orbital_status,orbital_period_days_effective,semimajor_axis_au_effective,orbital_stellar_mass_solar_effective,orbital_calculable,G_hat_star_only_SI,log_G_ratio_star_only,planet_to_star_mass_ratio,G_hat_two_body_SI,log_G_ratio_two_body,planet_density_earth,planet_density_g_cm3,planet_surface_gravity_earth,planet_escape_velocity_earth,flag_extreme_density_robust,planet_density_lower_g_cm3,planet_density_upper_g_cm3,planet_density_audit_class,planet_true_mass_constraint_lower_earth,planet_true_mass_constraint_upper_earth,planet_radius_constraint_lower_earth,planet_radius_constraint_upper_earth,planet_density_constraint_lower_g_cm3,planet_density_constraint_upper_g_cm3,planet_density_candidate_defense,stellar_density_solar,stellar_logg_predicted_cgs,stellar_logg_delta_dex,insolation_model_earth,insolation_catalog_model_ratio,effective_stellar_luminosity_from_insolation_solar,stellar_luminosity_from_radius_temperature_solar,stellar_luminosity_representation_ratio,equilibrium_temperature_model_K,equilibrium_temperature_catalog_model_ratio,flag_extreme_insolation_consistency_robust,flag_extreme_temperature_consistency_robust,irradiation_consistency_Q,effective_albedo_like,irradiation_audit_class,host_shared_insolation_factor_candidate,insolation_model_constraint_lower_earth,insolation_model_constraint_upper_earth,equilibrium_temperature_model_constraint_lower_K,equilibrium_temperature_model_constraint_upper_K,insolation_candidate_interval_overlap,thermal_balance_candidate_defensible,thermal_balance_phi_central,host_latent_insolation_scale,host_latent_insolation_scale_cv,host_latent_scale_thermal_Q,host_latent_scale_candidate,irradiation_candidate_defense,thermal_candidate_defense,periastron_au,apastron_au,available_zone_count,available_zones,deep_residual_maximal_subspace,deep_residual_axis_count,deep_residual_eligible,passport_status
11 Com b,11 Com,Radial Velocity,Msini,2007,0.0,0.0,0.0,0.0,17,log_planet_mass_earth;log_planet_radius_earth;eccentricity;log_insolation_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_period_uncertainty;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,2.09,OBSERVED,OBSERVED_P_A_MSTAR,323.21,1.178,2.09,True,6.666677574246178e-11,-0.0011427088518570128,0.0070629082731789375,6.619921674682268e-11,-0.008180791613396536,2.7066684468358586,14.924569815852925,33.02135505139748,20.071385892036684,False,,,NOT_CANDIDATE,4875.16993497,inf,12.2,12.2,14.803930186571005,inf,EXTREME_ALLOWED_BY_CONSTRAINTS,0.0008022153807998038,2.4809901784353476,-0.03099017843534746,69.37182128608353,0.9879904942577793,95.1100573708,96.26616644955753,0.9879904942577794,803.2586192767411,1.0000017189025125,False,False,0.9879837012495988,-0.012162446339148092,NOT_CANDIDATE,False,46.867462293875,101.08471563726532,728.24494699193,882.533081303911,True,True,1.000006875627778,,,,False,NOT_CANDIDATE,DEFENDED_BY_ALBEDO_REDISTRIBUTION_ENVELOPE,0.897636,1.458364,7,ORBITAL_OBSERVED_CLOSURE;PLANET_STRUCTURE;STELLAR_STRUCTURE;IRRADIATION_MODEL_CHECK;ECCENTRIC_ORBIT_GEOMETRY;CATALOGUE_CONTEXT;UNCERTAINTY_ORBIT,log_planet_mass_earth;log_planet_radius_earth;eccentricity;log_insolation_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_period_uncertainty;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,17,True,FULL_17_AXIS_OBSERVED_ORBITAL
11 UMi b,11 UMi,Radial Velocity,Msini,2009,0.0,0.0,0.0,0.0,17,log_planet_mass_earth;log_planet_radius_earth;eccentricity;log_insolation_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_period_uncertainty;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,2.78,OBSERVED,OBSERVED_P_A_MSTAR,516.21997,1.53,2.78,True,4.30476391718204e-11,-0.43854203271174946,0.0050613092690222445,4.283085894842456e-11,-0.4435905766098884,2.517543811567403,13.88173657698266,30.96578888227906,19.516126748205764,False,,,NOT_CANDIDATE,3890.2392,inf,12.3,12.3,11.52730364330175,inf,EXTREME_ALLOWED_BY_CONSTRAINTS,0.0001051558132041531,1.9339845496112673,-0.003984549611267374,107.60159068999896,1.0673652616426865,268.85283318,251.88456364621857,1.0673652616426865,896.4256879034077,1.0000048103224288,False,False,1.0673447244054326,0.06309557059266602,NOT_CANDIDATE,False,77.0666153559434,148.06544173034928,824.6623963981622,970.8967490518505,True,True,1.000019241428551,,,,False,NOT_CANDIDATE,DEFENDED_BY_ALBEDO_REDISTRIBUTION_ENVELOPE,1.4076000000000002,1.6524,7,ORBITAL_OBSERVED_CLOSURE;PLANET_STRUCTURE;STELLAR_STRUCTURE;IRRADIATION_MODEL_CHECK;ECCENTRIC_ORBIT_GEOMETRY;CATALOGUE_CONTEXT;UNCERTAINTY_ORBIT,log_planet_mass_earth;log_planet_radius_earth;eccentricity;log_insolation_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_period_uncertainty;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,17,True,FULL_17_AXIS_OBSERVED_ORBITAL
14 And b,14 And,Radial Velocity,Msini,2008,0.0,0.0,0.0,0.0,17,log_planet_mass_earth;log_planet_radius_earth;eccentricity;log_insolation_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_period_uncertainty;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,1.78,OBSERVED,OBSERVED_P_A_MSTAR,186.76,0.775,1.78,True,6.675853834847924e-11,0.0002327815655404616,0.0019086047346395288,6.663136540898416e-11,-0.0016740040973073,0.5031608153362119,2.774428735763873,6.591406680904377,9.292331651412757,False,,,NOT_CANDIDATE,1092.37623486,inf,13.1,13.1,2.679323283184729,inf,EXTREME_ALLOWED_BY_CONSTRAINTS,0.0011552448725665118,2.563336793975846,-0.013336793975846195,114.22996998927086,1.0081714983451087,69.170017125,68.60937572480582,1.0081714983451087,909.9229856433544,0.9999967187955447,False,False,1.0081847305209004,0.008118284549570198,NOT_CANDIDATE,False,104.36484706241875,137.4577794974657,889.6069773492766,953.0198605332453,True,True,0.9999868752467767,,,,False,NOT_CANDIDATE,DEFENDED_BY_ALBEDO_REDISTRIBUTION_ENVELOPE,0.775,0.775,7,ORBITAL_OBSERVED_CLOSURE;PLANET_STRUCTURE;STELLAR_STRUCTURE;IRRADIATION_MODEL_CHECK;ECCENTRIC_ORBIT_GEOMETRY;CATALOGUE_CONTEXT;UNCERTAINTY_ORBIT,log_planet_mass_earth;log_planet_radius_earth;eccentricity;log_insolation_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_period_uncertainty;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,17,True,FULL_17_AXIS_OBSERVED_ORBITAL
14 Her b,14 Her,Radial Velocity,Mass,2002,0.0,0.0,0.0,0.0,17,log_planet_mass_earth;log_planet_radius_earth;eccentricity;log_insolation_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_period_uncertainty;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,0.97,OBSERVED,OBSERVED_P_A_MSTAR,1766.41,2.839,0.97,True,6.731794635838927e-11,0.008577440321317149,0.008758430407661022,6.673346594108229e-11,-0.0001428575272308122,1.4482804850176,7.985818594387047,18.10350606272,15.04306570430376,False,,,NOT_CANDIDATE,2288.3645304,3241.8497514,12.5,12.5,6.460437514560308,9.152286478960436,EXTREME_EXCLUDED_BY_CONSTRAINTS,1.205932191800407,4.487886597281653,-0.03788659728165289,0.07849538071119856,1.1121673556969618,0.7036311033,0.6326665673971842,1.1121673556969618,147.32303096978458,0.9999794263682695,False,False,1.1122588856910693,0.10092873802605817,NOT_CANDIDATE,False,0.07335809577915468,0.0841174667291445,144.8510449736967,149.89293605583873,True,True,0.9999177080126892,,,,False,NOT_CANDIDATE,DEFENDED_BY_ALBEDO_REDISTRIBUTION_ENVELOPE,1.7933962999999997,3.8846037,7,ORBITAL_OBSERVED_CLOSURE;PLANET_STRUCTURE;STELLAR_STRUCTURE;IRRADIATION_MODEL_CHECK;ECCENTRIC_ORBIT_GEOMETRY;CATALOGUE_CONTEXT;UNCERTAINTY_ORBIT,log_planet_mass_earth;log_planet_radius_earth;eccentricity;log_insolation_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_period_uncertainty;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,17,True,FULL_17_AXIS_OBSERVED_ORBITAL
16 Cyg B b,16 Cyg B,Radial Velocity,Msini,1996,0.0,0.0,0.0,0.0,17,log_planet_mass_earth;log_planet_radius_earth;eccentricity;log_insolation_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_period_uncertainty;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,1.08,OBSERVED,OBSERVED_P_A_MSTAR,798.5,1.66,1.08,True,5.914800656404439e-11,-0.12080653437952961,0.0015732814957302925,5.905509627384816e-11,-0.12237857956446783,0.22993950109231315,1.2678864090230149,3.1041832647462275,6.473520995105683,False,,,NOT_CANDIDATE,540.3109999999999,inf,13.5,13.5,1.2109027501905196,inf,EXTREME_ALLOWED_BY_CONSTRAINTS,0.7484941752599114,4.365347628643389,-0.005347628643388447,0.45635918930278246,0.9948304113117854,1.2510424,1.2575433820427473,0.9948304113117854,228.76328285326406,0.9999856495621888,False,False,0.9948875183683495,-0.005138753414089647,NOT_CANDIDATE,False,0.4301402657329755,0.48441306327775735,225.4042731466442,232.20073057683834,True,True,0.9999425994843539,,,,False,NOT_CANDIDATE,DEFENDED_BY_ALBEDO_REDISTRIBUTION_ENVELOPE,0.5311999999999999,2.7888,7,ORBITAL_OBSERVED_CLOSURE;PLANET_STRUCTURE;STELLAR_STRUCTURE;IRRADIATION_MODEL_CHECK;ECCENTRIC_ORBIT_GEOMETRY;CATALOGUE_CONTEXT;UNCERTAINTY_ORBIT,log_planet_mass_earth;log_planet_radius_earth;eccentricity;log_insolation_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_period_uncertainty;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,17,True,FULL_17_AXIS_OBSERVED_ORBITAL
17 Sco b,17 Sco,Radial Velocity,Msini,2020,0.0,0.0,0.0,0.0,17,log_planet_mass_earth;log_planet_radius_earth;eccentricity;log_insolation_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_period_uncertainty;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,1.22,OBSERVED,OBSERVED_P_A_MSTAR,578.38,1.45,1.22,True,6.651308426554862e-11,-0.003450738686550127,0.0033801185098786836,6.6289019523655e-11,-0.006825157436157349,0.6395983387626246,3.5267452399371124,8.25081857003786,10.316761098013677,False,,,NOT_CANDIDATE,1334.8793094,inf,12.9,12.9,3.4287800943833036,inf,EXTREME_ALLOWED_BY_CONSTRAINTS,7.005753284466196e-05,1.6971705964009152,0.00282940359908479,85.97037047581833,0.9937330678833137,179.61993900000002,180.75270392540804,0.9937330678833137,847.5138805893765,0.9999954212084717,False,False,0.9937512684778654,-0.006288023694003275,NOT_CANDIDATE,False,78.18215441223862,94.78857607167443,827.6305794798491,868.4575999425283,True,True,0.9999816849596785,,,,False,NOT_CANDIDATE,DEFENDED_BY_ALBEDO_REDISTRIBUTION_ENVELOPE,1.363,1.537,7,ORBITAL_OBSERVED_CLOSURE;PLANET_STRUCTURE;STELLAR_STRUCTURE;IRRADIATION_MODEL_CHECK;ECCENTRIC_ORBIT_GEOMETRY;CATALOGUE_CONTEXT;UNCERTAINTY_ORBIT,log_planet_mass_earth;log_planet_radius_earth;eccentricity;log_insolation_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_period_uncertainty;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,17,True,FULL_17_AXIS_OBSERVED_ORBITAL
18 Del b,18 Del,Radial Velocity,Msini,2008,0.0,0.0,0.0,0.0,17,log_planet_mass_earth;log_planet_radius_earth;eccentricity;log_insolation_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_period_uncertainty;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,2.1,OBSERVED,OBSERVED_P_A_MSTAR,982.85,2.476,2.1,True,6.662659010940004e-11,-0.001745674108566183,0.00418510982881015,6.634891262305046e-11,-0.005922050723064911,1.498238025344,8.261284471746816,18.7279753168,15.300316711101114,False,,,NOT_CANDIDATE,2901.7733559099997,inf,12.5,12.5,8.192193681657722,inf,EXTREME_ALLOWED_BY_CONSTRAINTS,0.003081564613072877,2.8713347105568605,-0.0013347105568604078,6.9996471022721884,1.0025219696750256,43.0200909648,42.91186853365942,1.0025219696750256,452.7189320954151,1.000002358868846,False,False,1.0025125104594415,0.002506213571629168,NOT_CANDIDATE,False,6.367486742324244,8.016631809234195,442.13167809779173,468.3360671673916,True,True,1.0000094355087696,,,,False,NOT_CANDIDATE,DEFENDED_BY_ALBEDO_REDISTRIBUTION_ENVELOPE,2.416576,2.535424,7,ORBITAL_OBSERVED_CLOSURE;PLANET_STRUCTURE;STELLAR_STRUCTURE;IRRADIATION_MODEL_CHECK;ECCENTRIC_ORBIT_GEOMETRY;CATALOGUE_CONTEXT;UNCERTAINTY_ORBIT,log_planet_mass_earth;log_planet_radius_earth;eccentricity;log_insolation_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_period_uncertainty;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,17,True,FULL_17_AXIS_OBSERVED_ORBITAL
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,Mass,2008,0.0,0.0,0.0,0.0,12,log_planet_mass_earth;log_planet_radius_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_stellar_mass_uncertainty,0.85,OBSERVED,MODEL_INFERRED_P_FROM_A_MSTAR,2376000.8085613647,330.0,0.85,True,,,,,,0.4626945054671446,2.551297503145835,8.627864443445844,12.683997330373995,False,,,NOT_CANDIDATE,2700.0,3300.0,18.647,18.647,2.2961677528312516,2.8064272534604187,EXTREME_EXCLUDED_BY_CONSTRAINTS,0.3753755572341742,4.130864395298131,-0.13494439529813107,3.876200697868045e-06,,,0.4221182559978301,,12.349835820540028,137.65365181394478,False,True,,,NOT_CANDIDATE,False,2.692518659570545e-06,6.637144054968426e-06,11.274552173665635,14.127162189935065,False,False,359046707.9745916,,,,False,NOT_CANDIDATE,DEFENDED_DIRECT_IMAGING_INTERNAL_LUMINOSITY_REGIME,,,5,ORBITAL_MODEL_ASSISTED;PLANET_STRUCTURE;STELLAR_STRUCTURE;IRRADIATION_MODEL_CHECK;CATALOGUE_CONTEXT,log_planet_mass_earth;log_planet_radius_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_stellar_mass_uncertainty,0,False,MODEL_ASSISTED_ORBITAL_PHYSICS
24 Boo b,24 Boo,Radial Velocity,Msini,2018,0.0,0.0,0.0,0.0,17,log_planet_mass_earth;log_planet_radius_earth;eccentricity;log_insolation_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_period_uncertainty;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,1.05,OBSERVED,OBSERVED_P_A_MSTAR,30.33,0.194,1.05,True,6.730704357274979e-11,0.008415467634538954,0.0008027483390517935,6.725305629351402e-11,0.007613041325607292,0.10449824914852031,0.576203345804941,1.4525256631644323,4.493340262876339,False,,,NOT_CANDIDATE,266.97586187999997,inf,13.9,13.9,0.5481436132252265,inf,EXTREME_ALLOWED_BY_CONSTRAINTS,0.0005796664730394786,2.2872626479564526,-0.007262647956452817,1913.5709736775966,1.0458328577977165,75.3200009544,72.01915716533003,1.0458328577977165,1840.8600121481402,0.9999999934008342,False,False,1.0458328854042145,0.043824291666349824,NOT_CANDIDATE,False,1532.8041396240842,2395.884644511716,1741.5313084165366,1947.2696555905825,True,True,0.9999999736033371,,,,False,NOT_CANDIDATE,DEFENDED_BY_ALBEDO_REDISTRIBUTION_ENVELOPE,0.187792,0.20020800000000002,7,ORBITAL_OBSERVED_CLOSURE;PLANET_STRUCTURE;STELLAR_STRUCTURE;IRRADIATION_MODEL_CHECK;ECCENTRIC_ORBIT_GEOMETRY;CATALOGUE_CONTEXT;UNCERTAINTY_ORBIT,log_planet_mass_earth;log_planet_radius_earth;eccentricity;log_insolation_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_period_uncertainty;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,17,True,FULL_17_AXIS_OBSERVED_ORBITAL
24 Sex b,24 Sex,Radial Velocity,Msini,2010,0.0,0.0,0.0,0.0,17,log_planet_mass_earth;log_planet_radius_earth;eccentricity;log_insolation_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_period_uncertainty;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,1.54,OBSERVED,OBSERVED_P_A_MSTAR,452.8,1.333,1.54,True,6.679536628963553e-11,0.0007842883476079755,0.0012334673065547558,6.671307788913963e-11,-0.0004484188631200852,0.26285646838208154,1.4493905666587976,3.522276676319893,6.870116990465779,False,,,NOT_CANDIDATE,511.69000000000005,inf,13.4,13.4,1.1726253977384187,inf,EXTREME_ALLOWED_BY_CONSTRAINTS,0.01308978401856369,3.245209320902714,0.2547906790972858,8.222916800275131,0.99841700936647,14.588081001099999,14.611210410324077,0.99841700936647,471.3202444593843,0.9999994813306087,False,False,0.9984190807625261,-0.0015834225005662006,NOT_CANDIDATE,False,7.639534959137006,8.910574689378327,462.72860852654065,480.87926255877545,True,True,0.9999979253240489,,,,False,NOT_CANDIDATE,DEFENDED_BY_ALBEDO_REDISTRIBUTION_ENVELOPE,1.21303,1.45297,7,ORBITAL_OBSERVED_CLOSURE;PLANET_STRUCTURE;STELLAR_STRUCTURE;IRRADIATION_MODEL_CHECK;ECCENTRIC_ORBIT_GEOMETRY;CATALOGUE_CONTEXT;UNCERTAINTY_ORBIT,log_planet_mass_earth;log_planet_radius_earth;eccentricity;log_insolation_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_period_uncertainty;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,17,True,FULL_17_AXIS_OBSERVED_ORBITAL
24 Sex c,24 Sex,Radial Velocity,Msini,2010,0.0,0.0,0.0,0.0,17,log_planet_mass_earth;log_planet_radius_earth;eccentricity;log_insolation_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_period_uncertainty;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,1.54,OBSERVED,OBSERVED_P_A_MSTAR,883.0,2.08,1.54,True,6.673248870301738e-11,-0.00015750153240091415,0.0005330475986268631,6.669693606141408e-11,-0.0006904071116230122,0.10177169583622993,0.5611691308409719,1.414626572123596,4.434333022283958,False,,,NOT_CANDIDATE,203.39999999999998,inf,13.9,13.9,0.41761232699053735,inf,EXTREME_ALLOWED_BY_CONSTRAINTS,0.01308978401856369,3.245209320902714,0.2547906790972858,3.3772213411436933,0.9984243433858287,14.588188160000001,14.611210410324077,0.9984243433858287,377.31103025736553,0.9999972694745637,False,False,0.9984352483525327,-0.0015672039324023945,NOT_CANDIDATE,False,3.0100279634485174,3.680842580989647,366.6082659449968,385.519572161666,True,True,0.9999890779429893,,,,False,NOT_CANDIDATE,DEFENDED_BY_ALBEDO_REDISTRIBUTION_ENVELOPE,1.4768,2.6832000000000003,7,ORBITAL_OBSERVED_CLOSURE;PLANET_STRUCTURE;STELLAR_STRUCTURE;IRRADIATION_MODEL_CHECK;ECCENTRIC_ORBIT_GEOMETRY;CATALOGUE_CONTEXT;UNCERTAINTY_ORBIT,log_planet_mass_earth;log_planet_radius_earth;eccentricity;log_insolation_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_period_uncertainty;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,17,True,FULL_17_AXIS_OBSERVED_ORBITAL
2M0437 b,2MASS J04372171+2651014,Imaging,Mass,2021,0.0,0.0,0.0,0.0,14,log_planet_mass_earth;log_planet_radius_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,0.17,OBSERVED,MODEL_INFERRED_P_FROM_A_MSTAR,1136014.0100673803,118.0,0.17,True,,,,,,0.5786589112426036,3.1907252365917165,7.522565846153847,9.889052330734225,False,,,NOT_CANDIDATE,953.4852210000001,1589.142035,13.0,13.0,2.3930439274437876,3.9884065457396454,EXTREME_EXCLUDED_BY_CONSTRAINTS,0.2868210776374042,3.8199711093777893,0.6800288906222107,4.216344064185162e-06,,,0.058708374749714194,,12.612280791696861,114.96731034997171,False,True,,,NOT_CANDIDATE,False,2.732401795809057e-06,6.260371736524946e-06,11.316073529997091,13.922257139207481,False,False,174701842.292444,,,,False,NOT_CANDIDATE,DEFENDED_DIRECT_IMAGING_INTERNAL_LUMINOSITY_REGIME,,,5,ORBITAL_MODEL_ASSISTED;PLANET_STRUCTURE;STELLAR_STRUCTURE;IRRADIATION_MODEL_CHECK;CATALOGUE_CONTEXT,log_planet_mass_earth;log_planet_radius_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_metallicity_FeH;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,0,False,MODEL_ASSISTED_ORBITAL_PHYSICS
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,Mass,2013,0.0,0.0,0.0,0.0,8,log_planet_mass_earth;log_planet_radius_earth;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_stellar_mass_uncertainty,0.19,OBSERVED,MODEL_INFERRED_P_FROM_A_MSTAR,645397.4806242787,84.0,0.19,True,,,,,,2.2203575000255253,12.243051255140747,27.31039725031396,18.328062804859158,False,,,NOT_CANDIDATE,3813.96,4449.62,12.3,12.3,11.301278081668382,13.18482442861311,EXTREME_EXCLUDED_BY_CONSTRAINTS,,,,,,,,,,,False,False,,,NOT_CANDIDATE,False,,,,,False,False,,,,,False,NOT_CANDIDATE,NO_THERMAL_OBSERVATION,,,3,ORBITAL_MODEL_ASSISTED;PLANET_STRUCTURE;CATALOGUE_CONTEXT,log_planet_mass_earth;log_planet_radius_earth;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_stellar_mass_uncertainty,0,False,MODEL_ASSISTED_ORBITAL_PHYSICS
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,Mass,2013,0.0,0.0,0.0,0.0,13,log_planet_mass_earth;log_planet_radius_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,0.4,OBSERVED,MODEL_INFERRED_P_FROM_A_MSTAR,216650.73010516705,52.0,0.4,True,,,,,,5.528937497566675,30.48656136158265,61.97386041022486,26.356498275343984,False,,,NOT_CANDIDATE,6992.0,8581.0,11.209,11.209,27.375847561829563,33.59727516133574,EXTREME_EXCLUDED_BY_CONSTRAINTS,8.128601129447878,4.912111299393005,-0.054071299393005035,6.9473038962456405e-06,,,0.01878550973544821,,14.289390158801995,111.97118856849396,False,True,,,NOT_CANDIDATE,False,4.958312450211849e-06,9.972100027466155e-06,13.133881479459246,15.640703268647536,False,False,157190086.51845443,,,,False,NOT_CANDIDATE,DEFENDED_DIRECT_IMAGING_INTERNAL_LUMINOSITY_REGIME,,,5,ORBITAL_MODEL_ASSISTED;PLANET_STRUCTURE;STELLAR_STRUCTURE;IRRADIATION_MODEL_CHECK;CATALOGUE_CONTEXT,log_planet_mass_earth;log_planet_radius_earth;log_equilibrium_temperature_K;log_stellar_temperature_K;log_stellar_radius_solar;stellar_logg_cgs;log_distance_pc;discovery_year_centered;system_planet_count;ttv_flag;controversial_flag;relative_semimajor_axis_uncertainty;relative_stellar_mass_uncertainty,0,False,MODEL_ASSISTED_ORBITAL_PHYSICS
